Existence of commercial and service activities by type - self employment,Existence of commercial and service activities by type - public sector,Town,Existence of commercial and service activities by type - banking institutions,refArea,Total number of commercial institutions by size - number of medium-sized institutions,Total number of commercial institutions by size - number of large-sized institutions,Observation URI,Existence of commercial and service activities by type - service institutions,Total number of non banking financial institutions ,Percentage of small and medium sized commercial institutions,publisher,dataset,Total number of commercial institutions by size - number of small institutions,Total number of service institutions ,references,Existence of commercial and service activities by type - commerce
1,0,Aain Et-Teffaha,0,http://dbpedia.org/resource/Matn_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aain+Et-Teffaha,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
1,0,Aain Et-Tineh-Miniyeh,0,http://dbpedia.org/resource/MiniyehâDanniyeh_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aain+Et-Tineh-Miniyeh,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
1,0,Aain Ez-Zeit,0,https://dbpedia.org/page/Akkar_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aain+Ez-Zeit,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
1,0,Aain Ez-Zeitouneh,0,http://dbpedia.org/resource/Matn_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aain+Ez-Zeitouneh,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
1,0,Aain Fraidis,0,http://dbpedia.org/resource/Aley_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aain+Fraidis,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
1,0,Aain Harsha,0,https://dbpedia.org/page/Beqaa_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aain+Harsha,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
1,0,Aain Ibl,0,http://dbpedia.org/resource/Bint_Jbeil_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aain+Ibl,0,0,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,25,0,https://impact.cib.gov.lb/home#open_data_section,1
1,1,Aain Jarfa,0,http://dbpedia.org/resource/Hasbaya_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aain+Jarfa,0,0,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,5,0,https://impact.cib.gov.lb/home#open_data_section,1
1,0,Aain Jrain,0,http://dbpedia.org/resource/Byblos_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aain+Jrain,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
1,0,Aain Kfaa,0,http://dbpedia.org/resource/Byblos_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aain+Kfaa,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,1,Aain Kfar Zabad,0,http://dbpedia.org/resource/ZahlÃ©_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aain+Kfar+Zabad,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
1,0,Aain Ksour,0,http://dbpedia.org/resource/Aley_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aain+Ksour,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
1,0,Aain Mouaffaq,0,http://dbpedia.org/resource/Baabda_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aain+Mouaffaq,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,0,Aain Ouzain,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aain+Ouzain,0,0,5e+01,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,1,0,https://impact.cib.gov.lb/home#open_data_section,1
0,0,Aain Qana,0,https://dbpedia.org/page/Nabatieh_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aain+Qana,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,0,Aain Qania,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aain+Qania,0,0,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,8,0,https://impact.cib.gov.lb/home#open_data_section,1
1,0,Aain Qinia,0,http://dbpedia.org/resource/Hasbaya_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aain+Qinia,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
1,1,Aain Saadeh,1,http://dbpedia.org/resource/Matn_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aain+Saadeh,1,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,1
1,0,Aain Tinta,0,https://dbpedia.org/page/Akkar_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aain+Tinta,0,0,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,2,0,https://impact.cib.gov.lb/home#open_data_section,1
1,0,Aain Traz,0,http://dbpedia.org/resource/Aley_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aain+Traz,0,0,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,4,0,https://impact.cib.gov.lb/home#open_data_section,1
1,0,Aain Yaaqoub,0,https://dbpedia.org/page/Akkar_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aain+Yaaqoub,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
1,0,Aain Zebdeh,0,http://dbpedia.org/resource/Western_Beqaa_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aain+Zebdeh,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
1,0,Aain Zhalta,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aain+Zhalta,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
1,0,Aain challal,0,http://dbpedia.org/resource/Byblos_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aain+challal,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,0,Aainbal,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aainbal,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,0,Aaita Ej-Jabal,0,http://dbpedia.org/resource/Bint_Jbeil_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aaita+Ej-Jabal,0,0,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,10,0,https://impact.cib.gov.lb/home#open_data_section,1
0,0,Aaiyat,0,https://dbpedia.org/page/Akkar_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aaiyat,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,1
0,0,Aajaltoun,0,http://dbpedia.org/resource/Keserwan_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aajaltoun,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
1,0,Aakkar El-Aatiqa,0,https://dbpedia.org/page/Akkar_Governorate,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aakkar+El-Aatiqa,0,0,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,200,0,https://impact.cib.gov.lb/home#open_data_section,1
1,1,Aaley,1,http://dbpedia.org/resource/Aley_District,30,10,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aaley,1,5,8.889e+01,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,50,10,https://impact.cib.gov.lb/home#open_data_section,1
1,1,Aaley Bsatine,0,http://dbpedia.org/resource/Aley_District,2,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aaley+Bsatine,0,0,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,50,0,https://impact.cib.gov.lb/home#open_data_section,1
0,0,Aali En-Nahri,0,http://dbpedia.org/resource/ZahlÃ©_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aali+En-Nahri,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,1
1,0,Aalma,0,http://dbpedia.org/resource/Zgharta_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aalma,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
1,0,Aalma Ech-Chaab,0,http://dbpedia.org/resource/Tyre_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aalma+Ech-Chaab,1,0,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,10,1,https://impact.cib.gov.lb/home#open_data_section,1
1,0,Aalman,0,http://dbpedia.org/resource/Marjeyoun_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aalman,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,0,Aalmane Ech-Chouf,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aalmane+Ech-Chouf,0,1,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
1,0,Aamaret El-Baykat,0,https://dbpedia.org/page/Akkar_Governorate,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aamaret+El-Baykat,0,0,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,20,0,https://impact.cib.gov.lb/home#open_data_section,1
1,1,Aamayer,0,https://dbpedia.org/page/Akkar_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aamayer,0,0,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,65,0,https://impact.cib.gov.lb/home#open_data_section,1
1,0,Aamchit,1,http://dbpedia.org/resource/Byblos_District,15,5,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aamchit,0,0,9.773e+01,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,200,0,https://impact.cib.gov.lb/home#open_data_section,1
1,0,Aammatour,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aammatour,0,0,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,16,0,https://impact.cib.gov.lb/home#open_data_section,1
1,0,Aammiq Ech-Chouf,0,http://dbpedia.org/resource/Western_Beqaa_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aammiq+Ech-Chouf,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,1
1,0,Aana,0,http://dbpedia.org/resource/Western_Beqaa_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aana,1,0,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,10,0,https://impact.cib.gov.lb/home#open_data_section,1
1,1,Aandqet,0,https://dbpedia.org/page/Akkar_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aandqet,0,0,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,400,0,https://impact.cib.gov.lb/home#open_data_section,1
1,0,Aanjar (Haouch Moussa),0,http://dbpedia.org/resource/ZahlÃ©_District,50,2,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Aanjar+%28Haouch+Moussa%29,0,0,9.956e+01,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,400,0,https://impact.cib.gov.lb/home#open_data_section,1
